,会社名,初年度年収,給与
0,Delivery Hero Japan株式会社 | ★フードデリバリーサービス「foodpanda」が日本上陸！,【未経験・第二新卒歓迎／やる気重視の採用】★営業職の実務経験がある方歓迎！マネジメント経験や英語力がある方はリーダーとしても活躍が可能です,★全国各エリアで募集！新拠点続々オープン！ ＜北関東＞ 栃木県宇都宮市 ＜首都圏＞ 千葉県船橋市、…
1,アサガミ株式会社 | 【東証二部上場／独立系物流企業】,《第二新卒の方も歓迎／20～30代の若手が活躍中！》法人営業をお持ちの方は優遇します　◎経歴は不問！人柄・ポテンシャル重視の採用です！,本社および各事業所での勤務となります。 ※配属は希望を考慮の上、決定します。 ◆東京本社 東京都千…
2,株式会社セフテック | 東証一部上場・ニッコンホールディングス(株)の子会社です,フォークリフトの特定自主検査の経験があり、「検査業者検査員」の資格をお持ちの方。※狭山工場限定募集！(転勤なし／単身用社員寮あり),【本社・狭山工場】 埼玉県狭山市上赤坂602-2 マイカー通勤OK！駐車場完備 徒歩約5分の場所に…
3,株式会社翔栄 | ★特許申請中の「ガードシェルター」のメーカー兼施工会社★,【35歳以下(※)の若手積極採用！未経験・既卒・第二新卒を歓迎します♪】◆要普通免許(AT限定可) ◆基本的なPCスキル(Excel／Word) ※学歴・性別不問,【転勤・出張なし！U・Iターン歓迎！】 ★移転したてのキレイなオフィス勤務 兵庫県尼崎市次屋3丁目…
4,株式会社セレブリックス | ★博報堂グループ ★チームで取り組むので未経験でも安心です♪,《未経験・第二新卒歓迎！》◆35歳までの方※ ★接客経験や家電量販店での販売経験があれば活かせます！★転勤なし／I・Uターン歓迎,★転勤なし ★大阪・京都・兵庫・奈良・滋賀・和歌山／東京・神奈川・埼玉・千葉の各クライアント先へ常…
5,株式会社ブール・ジャパン | トーテックアメニティ（株）グループ/直近、売上4倍の成長企業,＜職種・業種未経験歓迎／学歴不問＞◆25歳以下の方(テストエンジニア経験者は年齢不問)★特別な知識や経験は必要なし◎社会人デビューも歓迎します！,東京都、神奈川県、埼玉県の各プロジェクト先 ※勤務地は希望を考慮 ※転居を伴う転勤なし ※リモート…
6,ALH株式会社 | 【WEBで内定可】土日祝休／住宅・資格補助有／定着率90%超,◎学歴・職歴不問 ★独学で言語を学んだ方も大歓迎。未経験から活躍できます！ ◎Webシステム開発経験のある方は尚歓迎（経験年数不問）,福岡オフィス 福岡県福岡市中央区天神1-6-8 天神ツインビル11F または、 各プロジェクト先…
7,株式会社駅前不動産 | ～ 東証一部上場の『 リログループ 』で働くチャンス ～,★★ 未経験者・第二新卒歓迎 ★★ ◎基本的なPCスキル（ Excel、Word ）※不動産に関する知識があると活かせます。※育児との両立も可能です♪,【 福岡県久留米市東櫛原町2589-6 2F 】 【 福岡県久留米市上津町1417-1 】 上記い…
8,株式会社セレブリックス | ★博報堂グループ ★大阪積極採用中！好きなエリアで長く活躍♪,"★35歳以下の方※ ★夢と仕事を両立したい方 ★正社員デビューしたい方 ★人と接することが好きな方 ★未経験でも""前向き""なあなたを大歓迎します！",★転勤なし ★大阪・東京いずれかの営業所に勤務 ★関西オフィスと東京本社は、移転したばかりの綺麗な…
9,株式会社セレブリックス | 〈大阪積極採用中〉◆年休120日◆20～30代活躍中◆未経験歓迎,【未経験大歓迎！】★最低限のPCスキルがあればOK！★人と話すのが好きな方には楽しんでいただけるはず♪他業種出身の先輩多数,★転勤なし！慣れたエリアで長く働けます ★大阪・東京いずれかの営業所に勤務 ★関西オフィスと東京本…
10,株式会社システナ | ★東証一部上場★健康経営優良法人(ホワイト500)認定★土日祝休,【“最後の転職”のつもりで長期キャリア形成を！】◆専門・短大・高専卒以上 ◆何らかの営業経験をお持ちの方 ☆専門知識ゼロから学べる環境です！,★転居を伴う転勤はありません★ 東京本社 または 名古屋営業所 【東京本社】 東京都港区海岸1-2…
11,株式会社セレブリックス | ★博報堂グループで活躍！★年休120日 ★20～30代活躍中,"★29歳以下の方※ ★チームでの仕事が好きな方 ★人から喜ばれる仕事がしたい方 ★未経験でも""前向き""なあなたを大歓迎します！【残業ほぼなし】",★東京・大阪・福岡いずれかの営業所に勤務 ★東京本社・大阪オフィスは、移転したばかりの綺麗なオフィ…
12,エナックス株式会社 | 大和證券グループ傘下の優良企業！黒字経営継続中！★土日祝休み,<30～40代活躍中>*課長/課長候補としてお迎えします◆有価証券報告書の作成に関わった経験をお持ちの方※製造業での原価管理、IPO準備経験者は尚歓迎,★丸ノ内線：茗荷谷駅 徒歩10分 ★丸ノ内線/南北線：後楽園駅　徒歩15分 ■東京都文京区春日2-…
